rank,score,year,tags,query,title,venue,doi,url,type,abstract
66,6,2024,,contact-rich manipulation,RTTF: Rapid Tactile Transfer Framework for Contact-Rich Manipulation Tasks,2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/iros58592.2024.10801764,https://doi.org/10.1109/iros58592.2024.10801764,proceedings-article,
67,6,2024,,sim-to-real robotics,Sim-to-Real Policy Transfer in Deep Reinforcement Learning,"2024 24th International Conference on Control, Automation and Systems (ICCAS)",10.23919/iccas63016.2024.10773220,https://doi.org/10.23919/iccas63016.2024.10773220,proceedings-article,
68,6,2024,,sim-to-real robotics,Sim-to-Real Transfer for Robotics Using Model-Free Curriculum Reinforcement Learning,2024 IEEE International Conference on Industrial Technology (ICIT),10.1109/icit58233.2024.10540995,https://doi.org/10.1109/icit58233.2024.10540995,proceedings-article,
69,6,2024,,robot tactile perception,Snake Robot with Tactile Perception Navigates on Large-scale Challenging Terrain,2024 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra57147.2024.10611384,https://doi.org/10.1109/icra57147.2024.10611384,proceedings-article,
70,6,2023,,contact-rich manipulation,A novel human-robot skill transfer method for contact-rich manipulation task,Robotic Intelligence and Automation,10.1108/ria-01-2023-0002,https://doi.org/10.1108/ria-01-2023-0002,journal-article,"<jats:sec>
<jats:title content-type=""abstract-subheading"">Purpose</jats:title>
<jats:p>The purpose of this paper is to enhance the robot’s ability to complete multi-step contact tasks in unknown or dynamic environments, as well as the generalization ability of the same task in different environments.</jats:p>
</jats:sec>
<jats:sec>
<jats:title content-type=""abstract-subheading"">Design/methodology/approach</jats:title>
<jats:p>This paper proposes a framework that combines learning from demonstrat"
71,6,2023,,contact-rich manipulation,Augmentation Enables One-Shot Generalization in Learning from Demonstration for Contact-Rich Manipulation,2023 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/iros55552.2023.10341625,https://doi.org/10.1109/iros55552.2023.10341625,proceedings-article,
72,6,2023,,robot tactile perception,Embodied Active Tactile Perception,IOP Conference Series: Materials Science and Engineering,10.1088/1757-899x/1292/1/012007,https://doi.org/10.1088/1757-899x/1292/1/012007,journal-article,"<jats:title>Abstract</jats:title>
               <jats:p>Tactile perception plays an important role in an agent safely interacting with the environment while acquiring information about it. Bio-inspired robotics opens up possibilities for a new paradigm leveraging the morphology of the body, which filters the tactile information in physical interactions and enables investigations of new designs for embodied active tactile perception. The subjects of morphology embodied active perception and moto"
73,6,2023,,vision language action robotics,Feature distillation from vision-language model for semisupervised action classification,Turkish Journal of Electrical Engineering and Computer Sciences,10.55730/1300-0632.4038,https://doi.org/10.55730/1300-0632.4038,journal-article,"<jats:p>The training of supervised machine learning approaches is critically dependent on annotating large-scale datasets. Semisupervised learning approaches aim to achieve compatible performance with supervised methods using relatively less annotation without sacrificing good generalization capacity. In line with this objective, ways of leveraging unlabeled data have been the subject of intense research. However, semisupervised video action recognition has received relatively less attention com"
74,6,2023,,embodied intelligence scaling,On the Timescales of Embodied Intelligence for Autonomous Adaptive Systems,"Annual Review of Control, Robotics, and Autonomous Systems",10.1146/annurev-control-063022-094301,https://doi.org/10.1146/annurev-control-063022-094301,journal-article,"<jats:p>Embodiment is a crucial concept for the autonomy and adaptivity of systems working in the physical world with high degrees of uncertainty and complexity. The physical bodies of autonomous adaptive systems heavily influence the information flow from the environment to the central processing (and vice versa), requiring us to consider the full triad of brain, body, and environment to investigate intelligent behavior. This article provides a structured review of embodied intelligence with a "
75,6,2023,,sim-to-real robotics,Robot Manipulation Skills Transfer for Sim-to-Real in Unstructured Environments,Electronics,10.3390/electronics12020411,https://doi.org/10.3390/electronics12020411,journal-article,"<jats:p>Robot force control that needs to be customized for the robot structure in unstructured environments with difficult-to-tune parameters guarantees robots’ compliance and safe human–robot interaction in an increasingly expanding work environment. Although reinforcement learning provides a new idea for the adaptive adjustment of these parameters, the policy often needs to be trained from scratch when used in new robotics, even in the same task. This paper proposes the episodic Natural Actor"
76,6,2023,,embodied intelligence scaling,Scaling down migrant homemaking: home possessions and the embodied experience of home,Handbook on Home and Migration,10.4337/9781800882775.00042,https://doi.org/10.4337/9781800882775.00042,book-chapter,
77,6,2023,,robot tactile perception,Tactile-GAT: Tactile Graph Attention Networks for Robot Tactile Perception Classification,,10.21203/rs.3.rs-3261017/v1,https://doi.org/10.21203/rs.3.rs-3261017/v1,posted-content,"<jats:title>Abstract</jats:title>
        <jats:p>As one of the most important senses in human beings, touch can also help robots better perceive and adapt to complex environmental information, improving their autonomous decision-making and execution capabilities. Compared to other perception methods, tactile perception needs to handle multi-channel tactile signals simultaneously, such as pressure, bending, temperature, and humidity. However, directly transferring deep learning algorithms that w"
78,6,2022,,sim-to-real robotics,Bidirectional Sim-to-Real Transfer for GelSight Tactile Sensors With CycleGAN,IEEE Robotics and Automation Letters,10.1109/lra.2022.3167064,https://doi.org/10.1109/lra.2022.3167064,journal-article,
79,6,2022,,sim-to-real robotics,Cloud-Edge Training Architecture for Sim-to-Real Deep Reinforcement Learning,2022 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/iros47612.2022.9981565,https://doi.org/10.1109/iros47612.2022.9981565,proceedings-article,
80,6,2022,,sim-to-real robotics,Dynamic Bipedal Turning through Sim-to-Real Reinforcement Learning,2022 IEEE-RAS 21st International Conference on Humanoid Robots (Humanoids),10.1109/humanoids53995.2022.10000225,https://doi.org/10.1109/humanoids53995.2022.10000225,proceedings-article,
81,6,2022,,embodied intelligence scaling,Embodied Team Intelligence in Multi-Robot Systems,International Joint Conference on Autonomous Agents and Multiagent Systems Proceedings of the Third International Joint Conference on Autonomous Agents and Multiagent Systems - Volume 1,10.65109/txsu5630,https://doi.org/10.65109/txsu5630,proceedings-article,"<jats:p>High-performing human teams leverage intelligent and efficient communication and coordination strategies to collaboratively maximize their joint utility. Inspired by teaming behaviors among humans, I seek to develop computational methods for synthesizing intelligent communication and coordination strategies for collaborative multi-robot systems. I leverage both classical model-based control and planning approaches as well as data-driven methods such as Multi-Agent Reinforcement Learning "
82,6,2022,,robot grasping learning,EMG-Based Grasping Force Estimation for Robot Skill Transfer Learning,Nelineinaya Dinamika,10.20537/nd221221,https://doi.org/10.20537/nd221221,journal-article,"<jats:p>In this study, we discuss a new machine learning architecture, the multilayer preceptron-random forest regressors pipeline (MLP-RF model), which stacks two ML regressors of different kinds to estimate the generated gripping forces from recorded surface electromyographic activity signals (EMG) during a gripping task. We evaluate our proposed approach on a publicly available dataset, putEMG-Force, which represents a sEMG-Force data profile. The sEMG signals were then filtered and preproces"
